Concept	Weighting
LENC_1156	122
LENC_1157	121
LENC_1158	121
LENC_1159	121
LENC_1160	120
LENC_1161	120
LENC_1162	120
LENC_1163	119
LENC_1164	119
LENC_1165	119
LENC_1166	119
LENC_1167	118
LENC_1168	118
LENC_1169	118
LENC_1170	118
LENC_1171	117
LENC_1172	117
LENC_1173	117
LENC_1174	117
LENC_1175	117
LENC_1176	117
LENC_1177	117
LENC_1178	116
LENC_1179	116
LENC_1180	115
LENC_1181	115
LENC_1182	115
LENC_1183	114
LENC_1184	114
LENC_1185	114
LENC_1186	114
LENC_1187	114
LENC_1188	113
LENC_1189	113
LENC_1190	113
LENC_1191	112
LENC_1192	112
LENC_1193	111
LENC_1194	111
LENC_1195	111
LENC_1196	111
LENC_1197	111
LENC_1198	110
LENC_1199	110
LENC_1200	110
LENC_1201	110
LENC_1202	109
LENC_1203	109
LENC_1204	109
LENC_1205	108
LENC_1206	108
LENC_1207	108
LENC_1208	108
LENC_1209	108
LENC_1210	107
LENC_1211	107
LENC_1212	107
LENC_1213	107
LENC_1214	107
LENC_1215	107
LENC_1216	106
LENC_1217	106
LENC_1218	106
LENC_1219	106
LENC_1220	105
LENC_1221	105
LENC_1222	105
LENC_1223	105
LENC_1224	104
LENC_1225	104
LENC_1226	104
LENC_1227	104
LENC_1228	104
LENC_1229	104
LENC_1230	103
LENC_1231	103
LENC_1232	103
LENC_1233	103
LENC_1234	103
LENC_1235	103
LENC_1236	102
LENC_1237	102
LENC_1238	101
LENC_1239	101
LENC_1240	101
LENC_1241	101
LENC_1242	101
LENC_1243	101
LENC_1244	100
LENC_1245	100
LENC_1246	100
LENC_1247	100
LENC_1248	100
LENC_1249	100
LENC_1250	100
LENC_1251	99
LENC_1252	99
LENC_1253	99
LENC_1254	99
LENC_1255	99
LENC_1256	99
LENC_1257	99
LENC_1258	98
LENC_1259	98
LENC_1260	98
LENC_1261	98
LENC_1262	98
LENC_1263	98
LENC_1264	97
LENC_1265	97
LENC_1266	96
LENC_1267	96
LENC_1268	96
LENC_1269	96
LENC_1270	96
LENC_1271	96
LENC_1272	96
LENC_1273	96
LENC_1274	95
LENC_1275	95
LENC_1276	95
LENC_1277	95
LENC_1278	95
LENC_1279	94
LENC_1280	94
LENC_1281	94
LENC_1282	94
LENC_1283	93
LENC_1284	93
LENC_1285	92
LENC_1286	92
LENC_1287	92
LENC_1288	92
